"Tweet Id","Is Retweet","Is Reply","Tweet Time","Tweet Day","Tweet Month","Tweet Text","Tweet Source","Tweet Retweet Count","Tweet Favorite Count"
930320191699017730,No,No,"2017-11-14 06:23:12",Tuesday,November,"I will be making a major statement from the @WhiteHouse upon my return to D.C. Time and date to be set.","Twitter for iPhone",2839,9010
930305984077156352,No,No,"2017-11-14 05:26:45",Tuesday,November,"Just arrived at #ASEAN50 in the Philippines for my final stop with World Leaders. Will lead to FAIR TRADE DEALS, un… https://t.co/ExRBdQnJru","Twitter Web Client",2556,11279
930304414564352000,No,No,"2017-11-14 05:20:31",Tuesday,November,"After my tour of Asia, all Countries dealing with us on TRADE know that the rules have changed. The United States h… https://t.co/MoMNa1MUI3","Twitter Web Client",3926,16412
930301344342265857,No,No,"2017-11-14 05:08:19",Tuesday,November,"Great to see @RandPaul looking well and back on the Senate floor. He will help us with TAX CUTS and REFORM!","Twitter Web Client",3169,14247
930259298407419904,No,No,"2017-11-14 02:21:14",Tuesday,November,"Excited to be heading home to see the House pass a GREAT Tax Bill with the middle class getting big TAX CUTS!

#MakeAmericaGreatAgain🇺🇸","Twitter for iPhone",8906,42693
930089374187950081,No,No,"2017-11-13 15:06:01",Monday,November,"I am proud of the Rep. House &amp;amp; Senate for working so hard on cutting taxes {&amp;amp; reform.} We’re getting close! Now, ho… https://t.co/bPmeYwoMhU","Twitter Web Client",14396,64519
930087113764327424,No,No,"2017-11-13 14:57:02",Monday,November,"Happy to announce, I am nominating Alex Azar to be the next HHS Secretary. He will be a star for better healthcare and lower drug prices!","Twitter for iPhone",10930,57121
930050967067820032,No,No,"2017-11-13 12:33:24",Monday,November,"Will be leaving the Philippines tomorrow after many days of constant mtgs &amp;amp; work in order to #MAGA! My promises are rapidly being fulfilled.","Twitter for iPhone",12736,64056
930049882949345281,No,No,"2017-11-13 12:29:06",Monday,November,"Great day of bilateral meetings at #ASEANSummit on trade, which we are turning around to be great deals for our cou… https://t.co/n7g7Zvo9pl","Twitter for iPhone",7603,36279
929717762422988801,Yes,No,"2017-11-12 14:29:22",Sunday,November,"Thank you! https://t.co/TD0rYcWN8C","Twitter for iPhone",10315,57622
929670192434745344,No,No,"2017-11-12 11:20:20",Sunday,November,"We had a wonderful visit to Vietnam, thank you President Tran Dai Quang! Heading to the #ASEANSummit 50th Anniv Gal… https://t.co/s5gIKMqt50","Twitter for iPhone",10380,54050
929655283181391874,No,No,"2017-11-12 10:21:06",Sunday,November,"Just landed in the Philippines after a great day of meetings and events in Hanoi, Vietnam! https://t.co/YxHRNhhPWo","Twitter for iPhone",10468,68003
929511061954297857,No,No,"2017-11-12 00:48:01",Sunday,November,"Why would Kim Jong-un insult me by calling me &quot;old,&quot; when I would NEVER call him &quot;short and fat?&quot; Oh well, I try so… https://t.co/PmsWNkH4r4","Twitter Web Client",261704,583205
929509950811881472,No,No,"2017-11-12 00:43:36",Sunday,November,"Does the Fake News Media remember when Crooked Hillary Clinton, as Secretary of State, was begging Russia to be our… https://t.co/0QnLU03c03","Twitter Web Client",27737,113440
929503641014112256,No,No,"2017-11-12 00:18:32",Sunday,November,"When will all the haters and fools out there realize that having a good relationship with Russia is a good thing, n… https://t.co/tPCd8nSwY3","Twitter Web Client",38614,153040
929503025512693760,No,No,"2017-11-12 00:16:05",Sunday,November,"Met with President Putin of Russia who was at #APEC meetings. Good discussions on Syria. Hope for his help to solve… https://t.co/eOt8rDcpeY","Twitter Web Client",14970,71703
929492850101940225,No,No,"2017-11-11 23:35:39",Saturday,November,"Will be doing a joint press conference in Hanoi, Vietnam then heading for final destination of trip, the Phillipines.","Twitter for iPhone",9308,55846
929492038231429120,No,No,"2017-11-11 23:32:25",Saturday,November,"President Xi of China has stated that he is upping the sanctions against #NoKo. Said he wants them to denuclearize. Progress is being made.","Twitter for iPhone",15867,74547
929326786709807105,No,No,"2017-11-11 12:35:46",Saturday,November,"“Presidential Proclamation Commemorating the 50th Anniversary of the Vietnam War” 
➡️https://t.co/hgUQP9leqK 
➡️… https://t.co/xZ8AWnxDEA","Twitter for iPhone",12109,55057
929320777668628480,No,No,"2017-11-11 12:11:53",Saturday,November,"On this wonderful Veterans Day, I want to express the incredible gratitude of the entire American Nation to our GRE… https://t.co/MhHOaVTAWC","Media Studio",30708,115833
928969836897583104,No,No,"2017-11-10 12:57:23",Friday,November,"On behalf of an entire nation, Happy 242nd Birthday to the men and women of the United States Marines!
#USMC242… https://t.co/EDmzIuB09r","Twitter for iPhone",24699,99654
928936220360503296,No,No,"2017-11-10 10:43:48",Friday,November,"The United States has been reminded time and again in recent years that economic security is not merely RELATED to… https://t.co/62WsIAen7F","Twitter Web Client",13654,56354
928931835664465921,No,No,"2017-11-10 10:26:22",Friday,November,"The United States is prepared to work with each of the leaders in this room today to achieve mutually beneficial co… https://t.co/6hY41gFM5i","Twitter Web Client",11014,47705
928926863375794176,No,No,"2017-11-10 10:06:37",Friday,November,"Today I am here to offer a renewed partnership with America -- to work together to strengthen the bonds of friendsh… https://t.co/2IdSIlE3Ek","Twitter Web Client",9298,42077
928922787938385920,No,No,"2017-11-10 09:50:25",Friday,November,"In more and more places throughout this region, citizens of SOVEREIGN and INDEPENDENT nations have taken greater co… https://t.co/RoZxYEdh9m","Twitter Web Client",8559,38424
928918183104225280,No,No,"2017-11-10 09:32:07",Friday,November,"Throughout my travels, I've had the pleasure of sharing the good news from America. I've had the honor of sharing o… https://t.co/eGkJAZaPuU","Twitter Web Client",11217,50888
928861178113040385,No,No,"2017-11-10 05:45:36",Friday,November,"Just landed in Da Nang, Vietnam to deliver a speech at #APEC2017","Twitter for iPhone",7725,50538
928793643367960576,No,No,"2017-11-10 01:17:15",Friday,November,"I am leaving China for #APEC2017 in Vietnam. @FLOTUS Melania is staying behind to see the zoo, and of course, the G… https://t.co/j2kDjWvnsj","Twitter Web Client",13452,71017
928770248370728960,No,No,"2017-11-09 23:44:17",Thursday,November,"My meetings with President Xi Jinping were very productive on both trade and the subject of North Korea. He is a hi… https://t.co/WqDuLr1nyF","Twitter Web Client",14795,81246
928769154345324544,No,No,"2017-11-09 23:39:56",Thursday,November,"I don’t blame China, I blame the incompetence of past Admins for allowing China to take advantage of the U.S. on tr… https://t.co/zql9WFEZlF","Twitter Web Client",29058,133168
928622838487007260,No,No,"2017-11-09 13:58:32",Thursday,November,"In the coming months and years ahead I look forward to building an even STRONGER relationship between the United St… https://t.co/kHCeQSQDtk","Twitter for iPhone",20192,92732
928519663780208640,No,No,"2017-11-09 07:08:33",Thursday,November,"President Xi, thank you for such an incredible welcome ceremony. It was a truly memorable and impressive display! 📸… https://t.co/Jbj5TWhCla","Twitter for iPhone",19259,91023
928325667556548608,No,No,"2017-11-08 18:17:41",Wednesday,November,"Congratulations to all of the ”DEPLORABLES” and the millions of people who gave us a MASSIVE (304-227) Electoral Co… https://t.co/cKVtPvEHOB","Twitter for iPhone",35152,132607
928286153672970240,No,No,"2017-11-08 15:40:40",Wednesday,November,"Looking forward to a full day of meetings with President Xi and our delegations tomorrow. THANK YOU for the beautif… https://t.co/lSC21tvK3w","Twitter Web Client",13409,63161
928279728125108225,No,No,"2017-11-08 15:15:08",Wednesday,November,"NoKo has interpreted America's past restraint as weakness. This would be a fatal miscalculation. Do not underestima… https://t.co/3ZqTpo7GrT","Media Studio",23463,87726
928267692645036032,Yes,No,"2017-11-08 14:27:18",Wednesday,November,"On behalf of @FLOTUS Melania and I, THANK YOU for an unforgettable afternoon and evening at the Forbidden City in B… https://t.co/Q9H0MPdIvU","Twitter Web Client",12962,60317
928124338343202816,No,No,"2017-11-08 04:57:40",Wednesday,November,"Leaving South Korea now heading to China. Looking very much forward to meeting and being with President Xi!","Twitter for iPhone",11369,71928
928105793366392832,No,No,"2017-11-08 03:43:59",Wednesday,November,"Together, we dream of a Korea that is free, a peninsula that is safe, and families that are reunited once again! https://t.co/9tsZRCC83j","Twitter Web Client",12823,52966
928098389966942208,No,No,"2017-11-08 03:14:34",Wednesday,November,"Anyone who doubts the strength or determination of the U.S. should look to our past....and you will doubt it no lon… https://t.co/n1Dc7xNmcg","Twitter Web Client",12378,51936
928097817037627393,No,No,"2017-11-08 03:12:17",Wednesday,November,"The North Korean regime has pursued its nuclear &amp;amp; ballistic missile programs in defiance of every assurance, agreem… https://t.co/J7WklThu2q","Twitter Web Client",10382,42542
928097146993369088,No,No,"2017-11-08 03:09:37",Wednesday,November,"The U.S., under my administration, is completely rebuilding its military, and they're spending hundreds of billions… https://t.co/2sIwl0TH9x","Twitter Web Client",14394,59390
928083235040579584,No,No,"2017-11-08 02:14:20",Wednesday,November,"Join me LIVE in South Korea🇺🇸🇰🇷
#NationalAssembly #POTUSinAsia 
➡️https://t.co/M3iEhPdkas https://t.co/hSxdtd2UnY","Twitter for iPhone",5867,29323
928074747316928513,No,No,"2017-11-08 01:40:37",Wednesday,November,"Ed Gillespie worked hard but did not embrace me or what I stand for. Don’t forget, Republicans won 4 out of 4 House… https://t.co/HODixMtPNw","Twitter Web Client",19393,81736
928064591665467393,No,No,"2017-11-08 01:00:15",Wednesday,November,"Getting ready to make a major speech to the National Assembly here in South Korea, then will be headed to China whe… https://t.co/mEfWXmpzRw","Twitter Web Client",10954,61940
928016742575738882,No,No,"2017-11-07 21:50:07",Tuesday,November,"Thank you to all Americans who participated in Nat'l Rx Drug Take Back Day. A record amount of drugs collected &amp;amp; disposed. We can do this!","Twitter for iPhone",11000,63382
927906208203276288,Yes,No,"2017-11-07 14:30:54",Tuesday,November,"Franklin, such a great photo. 

HAPPY 99th BIRTHDAY to your father, @BillyGraham! https://t.co/l0c7RvvOa1","Twitter for iPhone",12642,59923
927852358209622016,No,No,"2017-11-07 10:56:55",Tuesday,November,".@EdWGillespie will totally turn around the high crime and poor economic performance of VA. MS-13 and crime will be gone. Vote today, ASAP!","Twitter for iPhone",12995,52245
927851452185407490,No,Yes,"2017-11-07 10:53:19",Tuesday,November,"....and has been horrible on Virginia economy. Vote @EdWGillespie today!","Twitter for iPhone",7191,34463
927851387857367040,No,No,"2017-11-07 10:53:04",Tuesday,November,"Ralph Northam will allow crime to be rampant in Virginia. He’s weak on crime, weak on our GREAT VETS, Anti-Second Amendment....","Twitter for iPhone",13249,51308
927847471321141249,No,Yes,"2017-11-07 10:37:30",Tuesday,November,"....is making. Working very hard on TAX CUTS for the middle class, companies and jobs!","Twitter for iPhone",7064,42420
927847349648609280,No,No,"2017-11-07 10:37:01",Tuesday,November,"Stock market hit yet another all-time record high yesterday. There is great confidence in the moves that my Administration....","Twitter for iPhone",11775,62471
927844454957850625,No,No,"2017-11-07 10:25:31",Tuesday,November,"Thank you to President Moon of South Korea for the beautiful welcoming ceremony. It will always be remembered. https://t.co/bMvJz1iV2a","Media Studio",21356,70475
927802776737984513,No,No,"2017-11-07 07:39:54",Tuesday,November,"It was my great honor to have lunch with our INCREDIBLE U.S. and ROK troops at Camp Humphreys, in South Korea. 🇺🇸🇰🇷… https://t.co/QJtVR498yK","Twitter for iPhone",13795,54824
